1;北京市;1;1;24;Inf
2;天津市;1;2;24;Inf
3;河北省石家庄市;1;3;24;Inf
4;山西省太原市;1;4;24;Inf
5;内蒙古呼和浩特市;1;5;24;Inf
6;辽宁省沈阳市;1;6;24;Inf
7;吉林省长春市;1;7;24;Inf
8;黑龙江省哈尔滨市;1;8;24;Inf
9;上海市;1;9;24;Inf
10;江苏省南京市;1;10;24;Inf
11;浙江省杭州市;1;11;24;Inf
12;安徽省合肥市;1;12;24;Inf
13;福建省福州市;1;13;24;Inf
14;江西省南昌市;1;14;24;Inf
15;山东省济南市;1;15;24;Inf
16;河南省郑州市;1;16;24;Inf
17;湖南省长沙市;1;17;24;Inf
18;湖北省武汉市;1;18;24;Inf
19;广东省广州市;1;19;24;Inf
20;广西南宁市;1;20;24;Inf
21;海南省海口市;1;21;24;Inf
22;重庆市;1;22;24;Inf
23;四川省成都市;1;23;24;Inf
24;贵州省贵阳市;1;24;24;Inf
25;云南省昆明市;1;25;24;Inf
26;西藏拉萨市;1;26;24;Inf
27;陕西省西安市;1;27;24;Inf
28;甘肃省兰州市;1;28;24;Inf
29;青海省西宁市;1;29;24;Inf
30;宁夏银川市;1;30;24;Inf
31;新疆乌鲁木齐市;1;31;24;Inf
32;故宫博物院;0;1;4;8
33;天坛公园;0;1;4;8
34;颐和园;0;1;4;8
35;八达岭—慕田峪长城旅游区;0;1;4;8
36;明十三陵景区(神路-定陵-长陵-昭陵);0;1;4;8
37;恭王府景区;0;1;4;8
38;北京奥林匹克公园(鸟巢-水立方-中国科技馆-国家奥林匹克森林公园);0;1;4;8
39;天津古文化街旅游区（津门故里）;0;2;4;8
40;天津蓟县盘山风景名胜区;0;2;8;10
41;承德避暑山庄及周围寺庙景区(普陀宗乘-须弥福寺-普宁寺-普佑寺);0;3;8;10
42;秦皇岛山海关景区(老龙头-山海关古城-天下第一关-孟姜女庙);0;3;8;10
43;保定安新白洋淀景区(文化苑-大观园-鸳鸯岛-元妃荷园-嘎子印象-渔人乐园);0;3;8;10
44;保定涞水县野三坡景区(百里峡-白草畔-鱼谷洞-龙门天关);0;3;8;10
45;石家庄平山县西柏坡景区;0;3;8;10
46;大同云冈石窟;0;4;4;8
47;忻州五台山风景名胜区;0;4;8;10
48;晋城阳城县皇城相府生态文化旅游区;0;4;4;8
49;晋中市介休市绵山风景名胜区;0;4;4;8
50;晋中市乔家大院文化园区;0;4;4;8
51;晋中市平遥县平遥古城景区;0;4;4;8
52;鄂尔多斯达拉特旗响沙湾旅游景区;0;5;8;10
53;鄂尔多斯伊金霍洛旗成吉思汗陵旅游区;0;5;4;8
54;沈阳植物园;0;6;4;8
55;大连老虎滩海洋公园—老虎滩极地馆;0;6;4;8
56;大连金石滩景区(地质公园-发现王国-蜡像馆-文化博览广场);0;6;4;8
57;本溪市本溪水洞景区;0;6;8;10
58;长白山景区;0;7;8;10
59;长春伪满皇宫博物馆;0;7;4;8
